edition,match_number,match_id,stage,team_id,team,player_id,player,status,start_minute,end_minute,unavailable_minutes,evidence_tier,evidence_note,source_url,source_archive
2014,63,300186502,third_place,43924,Brazil,314197,NEYMAR,injured_full_match,0,90,90,2,Competition-ending back injury ruled him out of the third-place match,https://www.fifa.com/pt/tournaments/mens/worldcup/articles/neymar-retorno-brasil-copa-do-mundo-numeros,data/raw/manual/availability-evidence.csv
2014,64,300186501,final,43948,Germany,196900,Sami KHEDIRA,injured_full_match,0,120,120,2,Calf injury during the warm-up caused his withdrawal from the final,https://inside.fifa.com/es/tournaments/mens/worldcup/2014brazil/news/germanys-2014-champions-in-stats-2930226,data/raw/manual/availability-evidence.csv
2018,16,300331550,group,43926,Colombia,269058,James RODRIGUEZ,injured_interval,0,59,59,3,Left-calf injury kept James Rodríguez from starting against Japan; he entered as a substitute.,https://www.espn.com/soccer/story/_/id/37556874/colombia-james-rodriguez-not-starting-japan-calf-injury,data/raw/draft_workbook_exports/2018/medical-ledger.csv
2018,18,300331530,group,43835,Saudi Arabia,218083,TAISEER ALJASSAM,injured_interval,44,90,46,3,A left-thigh injury forced Al-Jassim out against Uruguay before half-time.,https://www.lequipe.fr/Football/Actualites/Arabie-saoudite-taisir-al-jassim-sort-sur-blessure-contre-l-uruguay/913546,data/raw/draft_workbook_exports/2018/medical-ledger.csv
2018,27,300331501,group,43948,Germany,311150,Mats HUMMELS,injured_full_match,0,90,90,3,Reuters reported a training-ground neck injury made Hummels unavailable against Sweden.,https://www.sbs.com.au/news/article/germanys-hummels-unlikely-to-play-against-sweden-coach-low/zp4h7rtxw,data/raw/draft_workbook_exports/2018/medical-ledger.csv
2018,34,300331509,group,43835,Saudi Arabia,218083,TAISEER ALJASSAM,injured_full_match,0,90,90,3,The thigh injury sustained against Uruguay kept Al-Jassim unavailable against Egypt.,https://www.si.com/soccer/2018/06/24/world-cup-preview-saudi-arabia-vs-egypt-classic-encounter-team-news-predictions-more,data/raw/draft_workbook_exports/2018/medical-ledger.csv
2018,48,300331553,group,43926,Colombia,269058,James RODRIGUEZ,injured_interval,31,90,59,2,FIFA reported James Rodríguez leaving the Senegal match with a muscle strain.,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/jun-28-round-up-2973227,data/raw/draft_workbook_exports/2018/medical-ledger.csv
2018,56,300331542,round_of_16,43926,Colombia,269058,James RODRIGUEZ,injured_full_match,0,120,120,2,FIFA reported Colombia playing England without the injured James Rodríguez.,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/england-into-quarter-finals-after-penalty-shootout-2981878,data/raw/draft_workbook_exports/2018/medical-ledger.csv
2022,31,400235485,group,43924,Brazil,335656,DANILO,injured_full_match,0,90,90,3,Ankle injury; unavailable for remainder of group stage,https://time.com/6237019/neymar-injury-world-cup-2022/,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,32,400235492,group,43963,Portugal,336505,DANILO,injured_full_match,0,90,90,3,Broken ribs; medically unavailable,https://www.reuters.com/lifestyle/sports/portugals-pereira-suffers-broken-ribs-training-2022-11-27/,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,45,400235494,group,43930,Uruguay,386538,Rodrigo BENTANCUR,injured_interval,34,90,56,4,Substituted with injury against Ghana,https://en.wikipedia.org/wiki/Rodrigo_Bentancur,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,46,400235490,group,43963,Portugal,336505,DANILO,injured_full_match,0,90,90,3,Broken ribs; medically unavailable,https://www.reuters.com/lifestyle/sports/portugals-pereira-suffers-broken-ribs-training-2022-11-27/,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,47,400235486,group,43971,Switzerland,398509,Nico ELVEDI,injured_full_match,0,90,90,4,Illness; unavailable against Serbia,https://en.wikipedia.org/wiki/Fabian_Sch%C3%A4r,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,48,400235483,group,43924,Brazil,335656,DANILO,injured_full_match,0,90,90,3,Ankle injury; unavailable for remainder of group stage,https://time.com/6237019/neymar-injury-world-cup-2022/,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,56,400128130,round_of_16,43963,Portugal,336505,DANILO,injured_full_match,0,90,90,3,Broken ribs; medically unavailable,https://www.reuters.com/lifestyle/sports/portugals-pereira-suffers-broken-ribs-training-2022-11-27/,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,56,400128130,round_of_16,43971,Switzerland,356412,Silvan WIDMER,injured_full_match,0,90,90,4,Illness; unavailable for round of 16,https://en.wikipedia.org/wiki/Silvan_Widmer,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,60,400128140,quarter_final,43872,Morocco,398599,Romain SAISS,injured_interval,57,90,33,4,Injury exit in quarter-final,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,60,400128140,quarter_final,43963,Portugal,336505,DANILO,injured_full_match,0,90,90,3,Broken ribs; medically unavailable,https://www.reuters.com/lifestyle/sports/portugals-pereira-suffers-broken-ribs-training-2022-11-27/,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,62,400128142,semi_final,43872,Morocco,398599,Romain SAISS,injured_interval,21,90,69,4,Injury exit in semi-final after carrying quarter-final injury,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,62,400128142,semi_final,43946,France,402047,Adrien RABIOT,injured_full_match,0,90,90,3,Illness; unavailable for semi-final,https://www.theguardian.com/football/live/2022/dec/16/world-cup-2022-gianni-infantino-fifa-speaks-france-argentina-final-live,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2022,63,400128144,third_place,43872,Morocco,398599,Romain SAISS,injured_full_match,0,90,90,4,Medically unavailable for third-place match,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,data/raw/draft_workbook_exports/2022/medical-ledger.csv
2026,7,400021456,group,43924,Brazil,314197,NEYMAR JR,injured_full_match,0,90,90,3,Right calf injury; missed first two matches,https://www.espn.com/soccer/story/_/id/49142107/neymar-completes-first-world-cup-training-session-brazil-vs-scotland,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,12,400021474,group,43970,Sweden,483276,Gabriel GUDMUNDSSON,injured_interval,64,90,26,3,"Substitution, Sweden. Elliot Stroud replaces Gabriel Gudmundsson because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760424,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,26,400021446,group,43971,Switzerland,493221,Miro MUHEIM,injured_full_match,0,90,90,4,Calf injury; ruled out,https://www.bluewin.ch/en/sport/football/muheim-to-miss-second-group-match-against-bosnia-li.3285599,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,29,400021457,group,43924,Brazil,314197,NEYMAR JR,injured_full_match,0,90,90,3,Right calf injury; missed first two matches,https://www.espn.com/soccer/story/_/id/49142107/neymar-completes-first-world-cup-training-session-brazil-vs-scotland,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,31,400021460,group,43928,Paraguay,463128,Diego GOMEZ,injured_interval,67,90,23,3,"Substitution, Paraguay. Gustavo Velázquez replaces Diego Gómez because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760443,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,37,400021487,group,43850,Cabo Verde,477852,KEVIN PINA,injured_interval,70,90,20,3,"Substitution, Cabo Verde. Laros Duarte replaces Kevin Pina because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760450,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,40,400021480,group,43855,Egypt,429095,HAMDY FATHY,injured_interval,41,90,49,3,"Substitution, Egypt. Ramy Rabia replaces Hamdi Fathy because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760452,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,49,400021455,group,43967,Scotland,401339,Andy ROBERTSON,injured_interval,45,90,45,3,"Substitution, Scotland. Kieran Tierney replaces Andy Robertson because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760465,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,51,400021451,group,43971,Switzerland,493221,Miro MUHEIM,injured_full_match,0,90,90,4,Calf injury; missed second consecutive match,https://www.foxsports.com/soccer/miro-muheim-2-player,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,56,400021466,group,43927,Ecuador,424031,Piero HINCAPIE,injured_interval,71,90,19,3,"Substitution, Ecuador. Pervis Estupiñán replaces Piero Hincapié because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760468,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,57,400021471,group,43970,Sweden,483312,Isak HIEN,injured_interval,37,90,53,3,"Substitution, Sweden. Lucas Bergvall replaces Isak Hien because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760471,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,60,400021461,group,43976,Australia,430450,Jacob ITALIANO,injured_full_match,0,90,90,4,Groin injury in training; ruled out,https://www.abc.net.au/news/2026-06-25/australia-loses-another-to-injury-as-paraguay-loom/106839028,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,63,400021479,group,43855,Egypt,429095,HAMDY FATHY,injured_full_match,0,90,90,4,Hamstring injury; rehabilitation instead of team training,https://www.egyptindependent.com/egypts-football-squad-training-in-spokane-for-iran-faceoff/,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,67,400021508,group,43942,England,463809,Jarell QUANSAH,injured_interval,63,90,27,3,"Substitution, England. Djed Spence replaces Jarell Quansah because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760485,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,77,400021523,round_of_32,43970,Sweden,483312,Isak HIEN,injured_full_match,0,90,90,3,Hamstring injury; ruled out of tournament,https://www.espn.com/soccer/story/_/id/49204105/france-vs-sweden-fifa-world-cup-2026-tv-channel-how-watch-kick-live-stream-injury-predicted-line-ups,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,81,400021524,round_of_32,44037,Bosnia and Herzegovina,300409,Edin DZEKO,injured_interval,51,90,39,3,"Substitution, Bosnia and Herzegovina. Ermin Mahmic replaces Edin Dzeko because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760494,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,85,400021527,round_of_32,43971,Switzerland,401448,Denis ZAKARIA,injured_interval,87,90,3,3,"Substitution, Switzerland. Silvan Widmer replaces Denis Zakaria because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760498,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,86,400021521,round_of_32,43922,Argentina,418963,Facundo MEDINA,injured_interval,85,120,35,3,"Substitution, Argentina. Nicolás Tagliafico replaces Facundo Medina because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760500,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,88,400021515,round_of_32,43855,Egypt,430477,AHMED FATOUH,injured_full_match,0,120,120,3,Hamstring tear; confirmed unavailable,https://www.espn.com/soccer/story/_/id/49252258/mohamed-salah-recovers-hamstring-egypt-australia,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,88,400021515,round_of_32,43976,Australia,423522,Jordan BOS,injured_interval,45,120,75,3,"Substitution, Australia. Kai Trewin replaces Jordan Bos because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760499,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,88,400021515,round_of_32,43976,Australia,430450,Jacob ITALIANO,injured_full_match,0,120,120,4,Groin injury; ruled out of round of 32,https://www.kingfut.com/2026/06/27/australia-lose-leckie-and-italiano-before-egypt-clash/,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,95,400021528,round_of_16,43855,Egypt,424106,Haissem HASSAN,injured_interval,73,90,17,3,"Substitution, Egypt. Trezeguet replaces Haissem Hassan because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760509,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,95,400021528,round_of_16,43855,Egypt,430477,AHMED FATOUH,injured_full_match,0,90,90,4,Hamstring tear; remained unavailable,https://centraljersey.com/argentina-vs-egypt-world-cup-2026/,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,96,400021535,round_of_16,43926,Colombia,441622,Jhon LUCUMI,injured_interval,118,120,2,3,"Substitution, Colombia. Yerry Mina replaces Jhon Lucumí because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760508,data/raw/draft_workbook_exports/2026/injury-ledger.csv
2026,100,400021537,quarter_final,43922,Argentina,332847,Leandro PAREDES,injured_interval,110,120,10,3,"Substitution, Argentina. José Manuel López replaces Leandro Paredes because of an injury.",https://www.espn.com/soccer/commentary/_/gameId/760513,data/raw/draft_workbook_exports/2026/injury-ledger.csv
